scraped_at,source_url,detail_url,building_name_raw,building_name_norm,rent_text,deposit_text,key_money_text,area_sqm_text,layout_text,floor_text,direction_text
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250033379.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.75m²,1DK,11階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250033317.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1DK,27階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250033112.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1DK,10階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250032949.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.75m²,1DK,10階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250032707.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1DK,8階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250032708.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.75m²,1K,22階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250032607.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.18m²,1DK,9階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1328250031097.html,No.71 オリエントトラストタワー,No.71 オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1DK,20階,南
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1254350063267.html,No.71オリエントトラストタワー 2208,No.71オリエントトラストタワー,"3.6万円 (4,000円)",無,1ヶ月,24.05m²,1K,22階,南西
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1254350065975.html,門司港レトロハイマート 1206,門司港レトロハイマート,10.5万円 (-円),無,1ヶ月,76.89m²,2LDK,12階,北東
